CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.43589744,0.51515152,0.2688172,0.15384615,0.23076923,1.0,0.00077325,0.25,1.36
2,0.4952381,0.53333333,0.25714286,0.2,0.6,1.0,0.00096579,0.28571429,1.44444444
3,0.32026144,0.36585366,0.14035088,0.0,0.27777778,1.0,0.00035813,0.17647059,3.0625
4,0.33666667,0.47320526,0.1440678,0.0,0.52,1.0,0.00054949,0.20833333,2.97058824
5,0.36315789,0.47635135,0.09210526,0.05,0.4,1.0,0.00028226,0.21052632,4.92857143
6,0.62121212,0.64664311,0.21153846,0.0,0.5,1.0,0.00073687,0.36363636,1.86363636
7,0.41052632,0.51428571,0.12359551,0.0,0.5,1.0,0.00044355,0.21052632,3.54545455
8,0.31384615,0.40759494,0.03773585,0.0,0.34615385,1.0,0.00012437,0.16,12.75
9,0.6,0.68108108,0.175,0.0,0.45454545,1.0,0.00051134,0.3,2.35714286
10,0.33230769,0.43823264,0.09623431,0.0,0.38461538,1.0,0.00035756,0.2,4.69565217
11,0.4,0.46938776,0.17647059,0.04761905,0.52380952,1.0,0.00069152,0.2,2.33333333
12,0.26797386,0.42372881,0.11827957,0.0,0.22222222,1.0,0.00024622,0.17647059,3.72727273
13,0.37894737,0.43612335,0.02040816,0.0,0.3,1.0,6.048e-05,0.21052632,24.0
14,0.31076923,0.41702586,0.03809524,0.0,0.53846154,1.0,0.00012437,0.16,12.625
15,0.41758242,0.43867925,0.21649485,0.0,0.35714286,1.0,0.00060338,0.23076923,1.80952381
16,0.53846154,0.58029197,0.24324324,0.0,0.46153846,1.0,0.00083511,0.33333333,1.55555556
17,0.41520468,0.5106383,0.12345679,0.0,0.52631579,1.0,0.00042428,0.22222222,3.55
18,0.43382353,0.42307692,0.14492754,0.0,0.41176471,1.0,0.00047381,0.25,2.95
19,0.33201581,0.40441989,0.0,0.0,0.26086957,1.0,0.0,0.18181818,84.0
20,0.43137255,0.50086957,0.04347826,0.0,0.38888889,1.0,0.0001343,0.23529412,11.0
21,0.21904762,0.42818912,0.0,0.0,0.63888889,1.0,0.0,0.11428571,138.0
22,0.27142857,0.46964856,0.0952381,0.04761905,0.33333333,1.0,0.00023051,0.15,4.75
23,0.44852941,0.59737418,0.07575758,0.0,0.64705882,1.0,0.00023691,0.25,6.1
24,0.47619048,0.53766234,0.03846154,0.0,0.4,1.0,0.00010731,0.28571429,12.5
25,0.37142857,0.50995406,0.0877193,0.04761905,0.52380952,1.0,0.00028813,0.2,5.2
26,0.71111111,0.74226804,0.16883117,0.0,0.5,1.0,0.00052209,0.44444444,2.46153846
27,0.62121212,0.67777778,0.19607843,0.0,0.58333333,1.0,0.00066988,0.36363636,2.05
28,0.4379085,0.55307263,0.0,0.0,0.5,1.0,0.0,0.23529412,67.0
29,0.59090909,0.64285714,0.15217391,0.0,0.5,1.0,0.00046892,0.36363636,2.78571429
30,0.38461538,0.48076923,0.13580247,0.07142857,0.42857143,1.0,0.00031606,0.23076923,3.18181818
