CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,1.0,1.0,0.45945946,0.2,0.0,1.0,0.00136273,1.0,0.58823529
2,0.33333333,0.52095808,0.17647059,0.0,0.2,1.0,0.00040241,0.21428571,2.33333333
3,0.31111111,0.31914894,0.06666667,0.0,0.1,1.0,8.032e-05,0.22222222,7.0
4,0.5,0.675,0.41666667,0.25,0.125,1.0,0.00100321,0.28571429,0.7
5,1.0,1.0,0.31034483,0.2,0.0,1.0,0.00072144,1.0,1.11111111
6,0.46153846,0.59243697,0.20754717,0.0,0.42857143,1.0,0.00063211,0.30769231,1.90909091
7,0.47222222,0.61016949,0.10526316,0.0,0.11111111,1.0,0.00017842,0.25,4.25
8,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00020032,1.0,3.0
9,0.5,0.62790698,0.06666667,0.0,0.125,1.0,0.00010032,0.28571429,7.0
10,0.64285714,0.64285714,0.35714286,0.125,0.25,1.0,0.00100321,0.42857143,0.9
11,1.0,1.0,0.09677419,0.0,1.0,1.0,0.00030096,1.0,4.66666667
12,1.0,1.0,0.01098901,0.0,1.0,1.0,4.016e-05,1.0,45.0
13,0.71428571,0.77777778,0.14285714,0.0,0.28571429,1.0,0.00028652,0.5,3.0
14,0.63888889,0.73529412,0.20689655,0.11111111,0.55555556,1.0,0.00053526,0.375,1.91666667
15,0.42857143,0.42857143,0.0,0.0,0.14285714,1.0,0.0,0.33333333,9.0
16,0.78571429,0.82857143,0.06382979,0.0,0.5,1.0,0.00015048,0.42857143,7.33333333
17,1.0,1.0,0.11111111,0.0,1.0,1.0,0.00035112,1.0,4.0
18,1.0,1.0,0.19230769,0.0,1.0,1.0,0.00057303,1.0,2.1
19,0.9047619,0.90697674,0.07317073,0.0,0.57142857,1.0,0.00017191,0.66666667,6.33333333
20,1.0,1.0,0.31034483,0.0,0.0,1.0,0.00072144,1.0,1.11111111
21,0.5,0.62790698,0.0,0.0,0.125,1.0,0.0,0.28571429,14.0
22,1.0,1.0,0.23076923,0.0,0.0,1.0,0.00060144,1.0,1.66666667
23,0.53333333,0.52941176,0.0,0.0,0.0,1.0,0.0,0.4,8.0
24,1.0,1.0,0.09677419,0.0,1.0,1.0,0.00030096,1.0,4.66666667
25,0.58241758,0.71390374,0.01851852,0.0,0.92857143,1.0,5.746e-05,0.38461538,26.5
26,0.91666667,0.92957746,0.22352941,0.0,0.88888889,1.0,0.0008475,0.625,1.73684211
27,0.57777778,0.78151261,0.01886792,0.0,0.2,1.0,4.016e-05,0.44444444,26.0
28,1.0,1.0,0.16666667,0.0,0.0,1.0,0.00032064,1.0,2.5
29,0.5,0.62790698,0.22222222,0.125,0.125,1.0,0.00040128,0.28571429,1.75
30,1.0,1.0,0.06666667,0.0,1.0,1.0,0.00020064,1.0,7.0
31,1.0,1.0,0.05084746,0.0,1.0,1.0,0.00015048,1.0,9.33333333
32,0.80952381,0.81428571,0.10526316,0.0,0.42857143,1.0,0.00022921,0.5,4.25
33,1.0,1.0,0.13043478,0.0,0.0,1.0,0.00024048,1.0,3.33333333
34,1.0,1.0,0.13043478,0.0,0.0,1.0,0.00024048,1.0,3.33333333
35,1.0,1.0,0.13043478,0.0,0.0,1.0,0.00024048,1.0,3.33333333
36,1.0,1.0,0.2,0.0,0.0,1.0,0.00030048,1.0,2.0
37,0.57142857,0.72727273,0.0,0.0,0.14285714,1.0,0.0,0.5,12.0
38,0.57142857,0.72727273,0.0,0.0,0.14285714,1.0,0.0,0.5,12.0
39,1.0,1.0,0.2,0.0,0.0,1.0,0.00030048,1.0,2.0
40,0.57142857,0.72727273,0.0,0.0,0.14285714,1.0,0.0,0.5,12.0
41,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00020048,1.0,5.0
42,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00020048,1.0,5.0
43,0.61904762,0.64285714,0.07142857,0.0,0.14285714,1.0,0.00011461,0.33333333,6.5
44,0.55555556,0.78947368,0.02439024,0.0,0.11111111,1.0,4.461e-05,0.5,20.0
45,0.66666667,0.69230769,0.16666667,0.16666667,0.0,1.0,0.00026731,0.4,2.5
46,1.0,1.0,0.06666667,0.0,1.0,1.0,0.00017191,1.0,7.0
47,0.93333333,0.92307692,0.06666667,0.0,0.0,1.0,0.00013365,0.8,7.0
48,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00020032,1.0,3.0
49,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00020032,1.0,3.0
50,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00020032,1.0,3.0
51,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00020032,1.0,3.0
52,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00020032,1.0,3.0
53,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00020032,1.0,3.0
54,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00020032,1.0,3.0
55,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00033414,1.0,3.0
56,1.0,1.0,0.23076923,0.0,0.0,1.0,0.00048096,1.0,1.66666667
57,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00016032,1.0,5.0
58,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00016032,1.0,5.0
59,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00016032,1.0,5.0
60,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00016032,1.0,5.0
61,0.8,0.84615385,0.14285714,0.0,0.0,1.0,0.00026731,0.4,3.0
62,1.0,1.0,0.1,0.0,1.0,1.0,0.00035684,1.0,4.5
63,1.0,1.0,0.0625,0.0,0.0,1.0,0.00013365,1.0,7.5
64,1.0,1.0,0.0625,0.0,0.0,1.0,0.00013365,1.0,7.5
65,1.0,1.0,0.0625,0.0,0.0,1.0,0.00013365,1.0,7.5
66,1.0,1.0,0.0625,0.0,0.0,1.0,0.00013365,1.0,7.5
67,1.0,1.0,0.0625,0.0,0.0,1.0,0.00013365,1.0,7.5
68,1.0,1.0,0.0625,0.0,0.0,1.0,0.00013365,1.0,7.5
69,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00020032,1.0,3.0
70,1.0,1.0,0.04545455,0.0,1.0,1.0,0.00011461,1.0,10.5
71,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00016032,1.0,5.0
72,1.0,1.0,0.16,0.0,1.0,1.0,0.00045843,1.0,2.625
73,0.86666667,0.86666667,0.13333333,0.0,0.0,1.0,0.00026731,0.6,3.25
74,0.43956044,0.78571429,0.13978495,0.07142857,0.5,1.0,0.00037352,0.15384615,3.07692308
75,1.0,1.0,0.03448276,0.0,1.0,1.0,0.00010032,1.0,14.0
