CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.57142857,0.51428571,0.4893617,0.14285714,1.0,1.0,0.00131745,0.33333333,0.52173913
2,1.0,1.0,0.625,0.33333333,1.0,1.0,0.0013344,1.0,0.3
3,0.18181818,0.0,0.0,0.0,0.09090909,0.0,0.0,0.1,10.0
4,1.0,1.0,0.625,0.33333333,1.0,1.0,0.0013344,1.0,0.3
5,0.83333333,0.75,0.44444444,0.25,1.0,1.0,0.00080096,0.66666667,0.625
6,1.0,1.0,0.53846154,0.33333333,1.0,1.0,0.00093408,1.0,0.42857143
7,0.4,0.42857143,0.5,0.33333333,0.83333333,0.5,0.0008016,0.2,0.5
8,0.83333333,0.75,0.375,0.25,1.0,1.0,0.00060072,0.66666667,0.83333333
9,0.32679739,0.39692308,0.08256881,0.0,1.0,1.0,0.00020137,0.17647059,5.55555556
10,0.47222222,0.46153846,0.12820513,0.0,1.0,1.0,0.00022294,0.25,3.4
11,0.18181818,0.0,0.0,0.0,0.27272727,0.0,0.0,0.1,10.0
12,0.83333333,0.75,0.5,0.25,1.0,1.0,0.0010012,0.66666667,0.5
13,0.15384615,0.0,0.0,0.0,0.46153846,0.0,0.0,0.08333333,12.0
14,0.8,0.78947368,0.23809524,0.2,1.0,1.0,0.00040064,0.5,1.6
15,0.53333333,0.4,0.30434783,0.0,1.0,0.83333333,0.0004676,0.4,1.14285714
16,0.66666667,0.6,0.38461538,0.25,0.75,0.75,0.0005006,0.33333333,0.8
17,1.0,1.0,0.29411765,0.25,1.0,1.0,0.0005006,1.0,1.2
18,0.47619048,0.39130435,0.25925926,0.0,1.0,0.71428571,0.00040096,0.33333333,1.42857143
19,0.83333333,0.75,0.28571429,0.25,1.0,1.0,0.00040048,0.66666667,1.25
20,0.71428571,0.75,0.14893617,0.0,1.0,1.0,0.00035098,0.42857143,2.85714286
21,1.0,1.0,0.4,0.33333333,1.0,1.0,0.00053376,1.0,0.75
22,1.0,1.0,0.4,0.33333333,1.0,1.0,0.00053376,1.0,0.75
23,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
24,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
25,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
26,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
27,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
28,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
29,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
30,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
31,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
32,1.0,1.0,0.45454545,0.33333333,1.0,1.0,0.0006672,1.0,0.6
33,1.0,1.0,0.5,0.33333333,1.0,1.0,0.00080064,1.0,0.5
34,0.66666667,0.6,0.38461538,0.0,0.75,0.75,0.0005006,0.33333333,0.8
35,0.66666667,0.6,0.46666667,0.5,0.75,0.75,0.00070084,0.33333333,0.57142857
36,0.66666667,0.69230769,0.16666667,0.0,1.0,1.0,0.0002672,0.4,2.5
37,0.28571429,0.0,0.0,0.0,0.28571429,0.0,0.0,0.16666667,6.0
38,1.0,1.0,0.53846154,0.66666667,1.0,1.0,0.00093408,1.0,0.42857143
39,1.0,1.0,0.33333333,0.33333333,1.0,1.0,0.00040032,1.0,1.0
40,1.0,1.0,0.33333333,0.33333333,1.0,1.0,0.00040032,1.0,1.0
41,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,4.0
42,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,4.0
43,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,4.0
44,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,4.0
45,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,4.0
46,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,4.0
47,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,4.0
48,0.28571429,0.0,0.0,0.0,0.625,0.0,0.0,0.14285714,8.0
49,0.66666667,0.6,0.27272727,0.0,0.75,0.75,0.00030036,0.33333333,1.33333333
50,0.66666667,0.6,0.33333333,0.0,0.75,0.75,0.00040048,0.33333333,1.0
51,0.83333333,0.75,0.33333333,0.0,1.0,1.0,0.0005006,0.66666667,1.0
52,0.7,0.64285714,0.17647059,0.0,1.0,1.0,0.00024038,0.5,2.33333333
53,0.33333333,0.0,0.0,0.0,0.33333333,0.0,0.0,0.2,5.0
54,0.33333333,0.0,0.0,0.0,0.33333333,0.0,0.0,0.2,5.0
55,0.33333333,0.0,0.0,0.0,0.33333333,0.0,0.0,0.2,5.0
56,0.28571429,0.0,0.0,0.0,0.42857143,0.0,0.0,0.16666667,6.0
57,0.28571429,0.0,0.0,0.0,0.42857143,0.0,0.0,0.16666667,6.0
58,0.28571429,0.0,0.0,0.0,0.28571429,0.0,0.0,0.16666667,6.0
59,0.22222222,0.0,0.0,0.0,0.44444444,0.0,0.0,0.125,8.0
60,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.11111111,9.0
61,0.83333333,0.75,0.16666667,0.0,1.0,1.0,0.00020024,0.66666667,2.5
62,0.46666667,0.6,0.17647059,0.0,1.0,1.0,0.0002004,0.2,2.33333333
63,1.0,1.0,0.2,0.0,1.0,1.0,0.00040064,1.0,2.0
64,1.0,1.0,0.33333333,0.33333333,1.0,1.0,0.00040032,1.0,1.0
65,0.22222222,0.15789474,0.09090909,0.1,0.5,0.3,8.029e-05,0.11111111,5.0
66,0.64285714,0.71830986,0.07692308,0.0,1.0,1.0,0.00015042,0.42857143,6.0
67,0.15384615,0.11538462,0.17647059,0.14285714,0.5,0.21428571,0.00017232,0.07692308,2.33333333
68,1.0,1.0,0.25,0.0,1.0,1.0,0.00026688,1.0,1.5
69,1.0,1.0,0.25,0.0,1.0,1.0,0.00026688,1.0,1.5
70,1.0,1.0,0.25,0.0,1.0,1.0,0.00026688,1.0,1.5
71,1.0,1.0,0.25,0.0,1.0,1.0,0.00026688,1.0,1.5
72,1.0,1.0,0.25,0.0,1.0,1.0,0.00026688,1.0,1.5
73,1.0,1.0,0.25,0.0,1.0,1.0,0.00026688,1.0,1.5
74,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
75,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
76,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
77,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
78,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
79,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
80,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
81,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
82,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
83,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
84,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
85,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
86,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
87,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
88,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
89,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
90,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
91,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
92,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
93,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
94,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
95,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
96,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
97,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
98,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
99,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
100,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
101,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
102,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
103,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
104,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
105,1.0,1.0,0.33333333,0.0,1.0,1.0,0.00040032,1.0,1.0
106,0.42857143,0.5625,0.37931034,0.14285714,1.0,1.0,0.00063008,0.16666667,0.81818182
107,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.25,4.0
108,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.25,4.0
109,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.25,4.0
110,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.25,4.0
111,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.25,4.0
112,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.25,4.0
113,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.25,4.0
114,0.33333333,0.0,0.0,0.0,0.5,0.0,0.0,0.2,5.0
115,0.33333333,0.0,0.0,0.0,0.5,0.0,0.0,0.2,5.0
116,0.33333333,0.0,0.0,0.0,0.5,0.0,0.0,0.2,5.0
117,0.33333333,0.0,0.0,0.0,0.33333333,0.0,0.0,0.2,5.0
118,1.0,1.0,0.25,0.0,1.0,1.0,0.00026688,1.0,1.5
119,0.5,0.5,0.28571429,0.0,0.8,0.6,0.00032051,0.25,1.25
120,0.33333333,0.0,0.0,0.0,0.5,0.0,0.0,0.2,5.0
121,0.33333333,0.0,0.0,0.0,0.5,0.0,0.0,0.2,5.0
122,0.83333333,0.75,0.23076923,0.0,1.0,1.0,0.00030036,0.66666667,1.66666667
123,0.52380952,0.46153846,0.12,0.0,1.0,0.85714286,0.00017184,0.33333333,3.66666667
124,0.83333333,0.75,0.09090909,0.0,1.0,1.0,0.00010012,0.66666667,5.0
125,1.0,1.0,0.25,0.0,1.0,1.0,0.00026688,1.0,1.5
126,0.61904762,0.61363636,0.0,0.0,1.0,1.0,0.0,0.33333333,13.0
127,0.66666667,0.6,0.2,0.25,0.75,0.75,0.00020024,0.33333333,2.0
128,0.83333333,0.75,0.16666667,0.0,1.0,1.0,0.00020024,0.66666667,2.5
129,0.5,0.0,0.0,0.0,0.8,0.0,0.0,0.25,5.0
130,1.0,1.0,0.14285714,0.0,1.0,1.0,0.00013344,1.0,3.0
131,1.0,1.0,0.14285714,0.0,1.0,1.0,0.00013344,1.0,3.0
132,1.0,1.0,0.14285714,0.0,1.0,1.0,0.00013344,1.0,3.0
133,1.0,1.0,0.14285714,0.0,1.0,1.0,0.00013344,1.0,3.0
134,1.0,1.0,0.14285714,0.0,1.0,1.0,0.00013344,1.0,3.0
135,1.0,1.0,0.14285714,0.0,1.0,1.0,0.00013344,1.0,3.0
136,1.0,1.0,0.14285714,0.0,1.0,1.0,0.00013344,1.0,3.0
137,1.0,1.0,0.14285714,0.0,1.0,1.0,0.00013344,1.0,3.0
138,1.0,1.0,0.14285714,0.0,1.0,1.0,0.00013344,1.0,3.0
139,1.0,1.0,0.14285714,0.0,1.0,1.0,0.00013344,1.0,3.0
140,1.0,1.0,0.14285714,0.0,1.0,1.0,0.00013344,1.0,3.0
141,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
142,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
143,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
144,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
145,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
146,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
147,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
148,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
149,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
150,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
151,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
152,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
153,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
154,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
155,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
156,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
157,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
158,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
159,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
160,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
161,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
162,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
163,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
164,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
165,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
166,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
167,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
168,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
169,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
170,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
171,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
172,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
173,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
174,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
175,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
176,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
177,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
178,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
179,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
180,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
181,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
182,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
183,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
184,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
185,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
186,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
187,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
188,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
189,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
190,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
191,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
192,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
193,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
194,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
195,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
196,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
197,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
198,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
199,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
200,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
201,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
202,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
203,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
204,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
205,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
206,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
207,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
208,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
209,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
210,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
211,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
212,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
213,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
214,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
215,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
216,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
217,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
218,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
219,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
220,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
221,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
222,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
223,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
224,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
225,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
226,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
227,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
228,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
229,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
230,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
231,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
232,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
233,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
234,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
